Año,Adjuntas,Aguada,Aguadilla,Aguas Buenas,Aibonito,Añasco,Arecibo,Arroyo,Barceloneta,Barranquitas,Bayamón,Cabo Rojo,Caguas,Camuy,Canóvanas,Carolina,Cataño,Cayey,Ceiba,Ciales,Cidra,Coamo,Comerio,Corozal,Culebra,Dorado,Fajardo,Florida,Guánica,Guayama,Guayanilla,Guaynabo,Gurabo,Hatillo,Hormigueros,Humacao,Isabela,Jayuya,Juana Díaz,Juncos,Lajas,Lares,Las Marías,Las Piedras,Loíza,Luquillo,Manatí,Maricao,Maunabo,Mayagüez,Moca,Morovis,Naguabo,Naranjito,Orocovis,Patillas,Peñuelas,Ponce,Quebradillas,Rincón,Río Grande,Sabana Grande,Salinas,San Germán,San Juan,San Lorenzo,San Sebastián,Santa Isabel,Toa Alta,Toa Baja,Trujillo Alto,Utuado,Vega Alta,Vega Baja,Vieques,Villalba,Yabucoa,Yauco,Puerto Rico
2017,17971,38118,53164,25850,23108,27059,86066,17881,24240,28511,179565,48824,129604,31732,45823,154489,24374,44027,11602,16627,39813,39071,19343,33694,1769,37026,31324,11775,16363,41281,18611,87328,47109,40111,16032,52771,41949,14625,46400,39101,22929,25772,8402,37659,25926,18311,39103,5665,10808,75525,36328,31092,26177,28306,21109,17004,20447,140859,23734,14128,50128,22690,28216,31654,337288,37379,37306,21863,73217,78092,66675,28791,37566,52436,8669,22528,33629,35635,3337177
2016,18276,38853,54525,26382,23566,27521,87864,18220,24440,28924,184213,49333,132079,32354,46362,158227,24998,44767,11920,16993,40551,39459,19654,34370,1789,37441,32208,11980,16864,41998,19109,89142,47163,40598,16260,53805,42700,14976,47252,39453,23435,26564,8646,38027,26577,18646,39911,5774,11068,77613,37055,31487,26428,28746,21519,17412,21075,144999,24171,14347,50976,23171,28777,32325,346534,38082,38142,22217,73849,80088,68165,29508,38140,53602,8806,23085,34332,36632,3406520
2015,18560,39539,55808,26913,24040,27942,89628,18533,24621,29291,188740,49773,134383,33005,46887,161870,25603,45466,12243,17345,41225,39875,19967,34989,1803,37807,33071,12169,17361,42655,19588,90859,47181,41047,16493,54849,43363,15305,48023,39751,23918,27370,8875,38302,27230,18977,40709,5880,11313,79640,37736,31849,26629,29156,21929,17792,21705,149050,24595,14561,51777,23619,29286,32964,355553,38741,39002,22525,74349,81994,69594,30254,38666,54777,8946,23672,35070,37601,3473177
2014,18798,40135,57078,27350,24448,28317,91240,18817,24778,29591,193075,50159,136607,33531,47280,165316,26226,46126,12552,17682,41857,40161,20207,35551,1810,38083,33934,12335,17809,43286,20071,92413,47042,41411,16702,55724,44000,15654,48721,39961,24392,28106,9105,38557,27929,19294,41508,5988,11544,81613,38332,32125,26788,29521,22312,18159,22270,152992,24950,14726,52606,24096,29740,33580,364089,39325,39803,22762,74607,83841,70850,30937,39074,55916,9067,24265,35718,38549,3534874
2013,19019,40707,58036,27782,24879,28619,92954,19069,24834,29869,197479,50542,138674,34056,47544,168517,26772,46767,12872,17978,42460,40412,20400,36063,1814,38251,34836,12442,18240,43896,20513,94124,46876,41722,16885,56531,44558,15927,49362,40256,24792,28793,9340,38718,28548,19532,42295,6080,11752,83685,38931,32372,26898,29831,22661,18480,22806,156414,25288,14868,53354,24476,30176,34164,372442,39919,40595,23006,74821,85508,72105,31556,39501,57039,9165,24745,36378,39506,3593077
2012,19116,41107,58978,28052,25205,28851,93841,19245,24808,30017,201004,50653,140111,34395,47649,171140,27186,47226,13090,18205,42780,40470,20499,36425,1812,38237,35515,12514,18624,43987,20833,95308,46456,41778,17028,57131,44921,16163,49798,40242,25118,29369,9501,38731,29015,19736,42863,6130,11907,85299,39343,32485,26868,30023,22888,18707,23269,159338,25491,14980,53705,24723,30411,34721,379518,40264,41176,23095,74673,86741,73024,32040,39628,57843,9215,25138,36848,40264,3634488
2011,19297,41532,59976,28333,25537,29094,95009,19432,24820,30191,204462,50802,141506,34776,47661,173852,27634,47671,13353,18467,43167,40569,20630,36785,1811,38271,36222,12590,18975,44434,21184,96619,46041,41905,17162,57787,45324,16419,50273,40295,25386,30004,9679,38768,29525,19907,43471,6204,12066,87059,39743,32587,26839,30192,23158,18961,23759,162637,25695,15094,53882,25052,30761,35193,386865,40640,41762,23200,74536,88087,73899,32575,39811,58668,9236,25547,37367,41049,3678732
2010,19472,41913,60766,28652,25874,29265,96222,19573,24827,30324,207646,50971,142863,35124,47685,176432,28084,48111,13611,18753,43483,40576,20791,37130,1820,38239,36875,12688,19376,45277,21523,97796,45561,41979,17250,58375,45654,16641,50736,40349,25704,30631,9869,38714,30017,20055,44041,6277,12233,88793,40100,32651,26774,30387,23421,19230,24214,165723,25895,15203,54295,25344,31042,35626,394244,41023,42347,23290,74282,89467,74769,33056,39946,59548,9305,26003,37881,41838,3721525
2009,19501,42070,61353,28724,26007,29259,96912,19588,24693,30303,209750,50738,143053,35253,47428,177791,28358,48165,13987,18900,43524,40394,20775,37216,1825,37937,37346,12682,19653,45365,21742,98303,44832,41818,17227,58650,45653,16729,50863,40098,25852,31101,9994,38448,30328,20090,44320,6298,12288,89945,40179,32503,26559,30420,23517,19389,24523,168186,25934,15202,54281,25376,31161,35720,399153,41150,42651,23209,73522,90123,75097,33381,39884,59979,9305,26276,38124,42477,3740410
2008,19546,42219,61913,28815,26141,29263,97576,19609,24517,30276,212006,50482,143299,35380,47165,179239,28647,48248,14459,19058,43591,40240,20776,37312,1840,37647,37847,12699,19974,45394,21975,98834,44123,41645,17213,58900,45676,16855,51020,39846,25996,31567,10147,38153,30679,20129,44604,6340,12390,91114,40277,32352,26340,30454,23642,19541,24867,170742,25988,15207,54264,25528,31251,35978,404405,41301,42969,23121,72792,90820,75443,33714,39803,60412,9307,26543,38374,43047,3760866
2007,19584,42389,62532,28934,26312,29253,98306,19630,24339,30262,214422,50229,143554,35497,46904,180770,28945,48345,14957,19224,43688,40102,20775,37404,1845,37368,38349,12714,20290,45485,22211,99422,43406,41500,17197,59191,45715,16991,51184,39607,26140,32059,10304,37883,31046,20180,44917,6390,12490,92339,40384,32204,26138,30499,23773,19702,25206,173449,26025,15202,54285,25677,31369,36258,409906,41444,43270,23032,72096,91552,75822,34071,39753,60864,9318,26843,38633,43640,3782995
2006,19620,42571,63129,29036,26466,29266,98999,19661,24192,30253,216776,50005,143848,35655,46673,182346,29260,48445,15442,19396,43797,39956,20788,37530,1857,37094,38866,12728,20623,45524,22441,99952,42697,41348,17186,59464,45774,17133,51356,39359,26281,32555,10462,37619,31442,20216,45239,6428,12583,93600,40511,32079,25940,30558,23905,19871,25561,176058,26083,15213,54267,25836,31505,36518,415200,41596,43619,22966,71414,92327,76202,34418,39686,61330,9331,27132,38909,44242,3805214
2005,19630,42672,63629,29100,26570,29231,99570,19663,23989,30185,218795,49706,143885,35729,46340,183603,29511,48464,15907,19545,43807,39741,20756,37574,1873,36744,39329,12726,20914,45501,22641,100362,41907,41122,17165,59666,45743,17229,51442,39052,26394,32999,10609,37278,31757,20233,45479,6461,12659,94791,40559,31886,25694,30566,23997,19996,25871,178443,26083,15205,54172,25959,31566,36750,420025,41663,43882,22862,70576,92909,76449,34703,39578,61696,9338,27373,39108,44775,3821362
2004,19568,42664,63962,29078,26638,29097,99879,19594,23717,30009,220293,49238,143533,35722,45875,184329,29713,48356,16353,19626,43697,39412,20670,37487,1886,36313,39670,12687,21145,45391,22790,100513,40982,40790,17093,59684,45594,17311,51386,38623,26417,33338,10720,36819,31973,20211,45567,6467,12697,95735,40469,31581,25383,30451,24015,20078,26088,180411,26017,15149,53926,25987,31544,36889,423669,41630,44015,22680,69514,93234,76478,34909,39327,61861,9317,27566,39194,45184,3826878
2003,19484,42564,64206,29009,26617,28931,100016,19513,23413,29805,221402,48724,142942,35640,45321,184790,29825,48165,16752,19672,43506,39029,20556,37366,1874,35790,39945,12627,21348,45168,22863,100516,40017,40384,16983,59618,45365,17325,51249,38128,26415,33618,10811,36305,32152,20128,45597,6471,12713,96511,40331,31231,25024,30316,23994,20111,26262,182003,25911,15071,53611,25988,31474,36963,426736,41526,44095,22460,68349,93415,76364,35051,39030,61928,9270,27671,39219,45522,3826095
2002,19402,42455,64412,28925,26609,28755,100116,19393,23090,29581,222385,48188,142305,35544,44763,185178,29931,47953,17138,19703,43324,38620,20425,37214,1882,35278,40218,12558,21538,44906,22945,100455,39028,39969,16882,59536,45114,17342,51073,37633,26390,33902,10893,35783,32311,20055,45610,6463,12731,97223,40179,30875,24646,30150,23975,20138,26435,183499,25789,14983,53270,25978,31388,37033,429574,41392,44138,22231,67171,93547,76268,35175,38703,61981,9227,27772,39228,45829,3823701
2001,19284,42313,64564,28822,26574,28551,100164,19278,22758,29337,223241,47635,141569,35432,44186,185452,30020,47705,17530,19729,43074,38190,20286,37029,1876,34740,40470,12464,21719,44643,23021,100359,38016,39525,16772,59378,44847,17342,50868,37105,26358,34151,10974,35231,32436,19968,45585,6456,12743,97845,39984,30490,24258,29968,23922,20158,26576,184896,25661,14891,52872,25958,31285,37078,432191,41230,44176,22000,65948,93626,76090,35258,38363,61988,9176,27837,39188,46091,3818774
2000,19159,42110,64701,28680,26504,28338,100142,19141,22406,29057,224001,47050,140732,35276,43542,185522,30058,47435,17903,19734,42787,37719,20117,36831,1868,34170,40662,12373,21862,44368,23063,100217,36998,39036,16638,59185,44539,17317,50608,36550,26299,34369,11040,34651,32509,19836,45523,6444,12746,98329,39757,30074,23865,29752,23847,20160,26689,186166,25511,14783,52458,25914,31139,37102,434488,41043,44165,21726,64652,93574,75845,35331,38005,61930,9119,27900,39135,46330,3810605
1999,19147,41497,64219,28707,26349,28076,99551,19073,22198,28608,223580,46185,139847,34692,42779,185245,30336,47256,17916,19654,42116,37279,19992,36531,1840,33716,40368,12032,21711,44054,22933,99413,36052,38399,16483,58666,43988,17157,50069,35954,25996,33954,10907,33908,32235,19665,44844,6417,12693,98491,39106,29567,23644,29532,23607,20084,26354,186413,25103,14541,51772,25665,30871,36900,434405,40501,43727,21456,62128,93643,74460,35280,37612,61425,9054,27533,38986,45996,3782143
1998,19154,40792,63608,28288,26165,27723,98794,19023,22039,28220,223008,45245,139004,33978,42053,184191,30706,47116,17805,19453,41297,36864,19985,36097,1801,33329,39920,11601,21482,43736,22753,98582,35155,37711,16315,58195,43395,16949,49470,35307,25652,33351,10708,33165,31849,19468,44113,6379,12632,98592,38336,29053,23503,29311,23300,20000,25880,186371,24652,14249,51010,25315,30557,36639,434504,39854,43113,21186,59818,93076,72820,35208,37226,60771,8992,27042,38652,45494,3748150
1997,19172,40112,63025,27889,25989,27383,98063,18980,21886,27852,222490,44334,138203,33287,41352,183202,31094,46995,17697,19258,40507,36463,19987,35679,1766,32962,39495,11189,21262,43427,22582,97790,34287,37045,16159,57751,42824,16752,48888,34679,25322,32768,10514,32448,31478,19279,43396,6343,12576,98717,37595,28550,23374,29101,23005,19923,25422,186376,24213,13972,50277,24976,30255,36393,434669,39227,42515,20926,57606,92540,71234,35149,36854,60132,8933,26565,38333,45013,3715726
1996,19189,39462,62460,27501,25819,27054,97352,18948,21739,27495,222027,43452,137435,32620,40672,182277,31503,46883,17600,19070,39748,36067,19999,35278,1732,32611,39085,10797,21060,43139,22419,97022,33443,36395,16002,57332,42264,16562,48324,34067,25002,32200,10328,31754,31129,19095,42695,6315,12529,98868,36881,28060,23246,28905,22720,19859,24977,186426,23790,13701,49564,24654,29957,36160,434896,38613,41943,20673,55485,92034,69696,35100,36498,59512,8878,26110,38031,44551,3684739
1995,19217,38835,61912,27133,25666,26738,96663,18921,21596,27156,221614,42593,136704,31975,40007,181411,31935,46793,17510,18892,39018,35684,20018,34893,1698,32275,38690,10419,20860,42860,22267,96289,32631,35761,15858,56931,41724,16378,47782,33472,24697,31650,10152,31080,30796,18920,42014,6287,12484,99043,36188,27584,23129,28716,22448,19802,24549,186518,23380,13440,48880,24334,29675,35937,435189,38021,41389,20434,53455,91551,68208,35057,36154,58910,8827,25665,37745,44107,3655194
1994,19250,38231,61384,26778,25515,26428,95995,18902,21461,26833,221254,41766,136015,31352,39359,180604,32390,46718,17425,18723,38314,35315,20047,34519,1666,31956,38314,10061,20676,42590,22119,95583,31838,35146,15723,56558,41199,16200,47256,32895,24402,31115,9978,30430,30480,18748,41348,6266,12448,99238,35522,27119,23020,28543,22181,19753,24134,186661,22986,13186,48215,24030,29400,35729,435544,37445,40857,20202,51509,91097,66767,35024,35824,58323,8775,25233,37475,43683,3627048
1993,19288,37652,60872,26438,25376,26134,95349,18892,21331,26519,220942,40964,135352,30748,38733,179856,32868,46654,17351,18560,37638,34952,20082,34162,1635,31653,37949,9715,20498,42337,21980,94903,31073,34548,15589,56203,40691,16034,46745,32335,24120,30601,9810,29802,30179,18587,40698,6244,12417,99467,34878,26673,22912,28377,21927,19712,23735,186843,22598,12945,47578,23734,29134,35530,435960,36883,40345,19980,49646,90669,65370,35000,35507,57752,8729,24819,37218,43272,3600252
1992,19329,37091,60382,26110,25239,25845,94724,18890,21210,26225,220677,40185,134731,30164,38126,179164,33370,46610,17282,18406,36984,34597,20128,33817,1605,31360,37605,9385,20328,42095,21848,94253,30329,33964,15468,55876,40199,15870,46249,31788,23846,30095,9647,29196,29895,18432,40065,6228,12389,99718,34254,26234,22819,28225,21679,19679,23344,187073,22225,12710,46963,23449,28878,35344,436440,36337,39847,19768,47858,90268,64016,34985,35202,57196,8686,24418,36975,42881,3574772
1991,19382,36554,59906,25800,25116,25566,94114,18894,21090,25942,220465,39431,134140,29598,37534,178525,33894,46575,17216,18260,36354,34254,20185,33489,1576,31086,37273,9066,20172,41863,21725,93630,29607,33394,15351,55562,39723,15713,45776,31256,23585,29607,9494,28607,29622,18282,39444,6217,12365,99994,33651,25808,22724,28081,21443,19655,22970,187345,21860,12485,46365,23174,28631,35169,436982,35806,39372,19564,46144,89891,62705,34979,34909,56651,8647,24026,36749,42506,3550566
1990,19436,36038,59448,25497,25000,25300,93531,18904,20976,25672,220295,38700,133581,29050,36956,177942,34446,46556,17157,18119,35751,33920,20247,33172,1548,30823,36960,8762,20020,41642,21609,93033,28910,32841,15239,55274,39259,15563,45313,30741,23335,29133,9342,28036,29368,18135,38842,6207,12348,100291,33068,25391,22640,27945,21213,19636,22604,187661,21510,12267,45790,22908,28392,35004,437584,35289,38911,19366,44502,89539,61432,34980,34627,56125,8609,23652,36533,42147,3527593
1989,19384,35508,58916,25157,24723,25056,92783,18739,20768,25246,218116,38116,132112,28558,36371,176614,33834,46081,16947,17916,34952,33571,20077,32667,1513,30290,36459,8565,19856,41438,21517,91816,28293,32372,15094,54395,38982,15448,45015,30163,23081,28810,9253,27408,28538,17819,38502,6236,12288,99977,32580,24922,22444,27538,20988,19464,22220,187697,21264,12165,44624,22610,28159,34768,437209,34903,38518,19334,43000,88458,60246,34917,34054,55226,8521,23312,36030,41679,3492190
1988,19295,34994,58376,24811,24404,24832,92008,18516,20541,24784,215348,37595,130381,28096,35804,175105,32868,45472,16698,17699,34116,33230,19838,32114,1474,29684,35907,8402,19696,41247,21443,90432,27716,31946,14946,53355,38772,15349,44786,29579,22842,28547,9184,26780,27555,17455,38257,6278,12216,99478,32143,24446,22213,27050,20768,19244,21843,187670,21061,12103,43307,22307,27934,34524,436576,34574,38158,19361,41589,87171,59117,34836,33394,54229,8419,22994,35444,41190,3453916
1987,19216,34503,57856,24477,24095,24617,91269,18306,20320,24340,212683,37095,128699,27651,35255,173692,31942,44879,16457,17490,33314,32898,19608,31582,1441,29106,35380,8242,19552,41074,21370,89100,27156,31534,14802,52352,38572,15258,44574,29015,22611,28294,9117,26175,26614,17104,38022,6323,12148,99000,31723,23989,21993,26583,20558,19037,21475,187683,20865,12049,42043,22015,27718,34291,436037,34255,37812,19395,40235,85935,58037,34766,32758,53263,8319,22684,34882,40715,3417295
1986,19140,34033,57355,24157,23797,24405,90556,18103,20107,23914,210125,36618,127068,27222,34728,172364,31052,44306,16221,17290,32544,32578,19388,31066,1411,28549,34870,8091,19412,40912,21307,87818,26613,31137,14673,51388,38384,15166,44377,28466,22388,28052,9054,25592,25708,16766,37797,6369,12087,98545,31319,23552,21780,26126,20359,18835,21117,187742,20680,11998,40834,21736,27514,34069,435592,33959,37477,19436,38935,84740,56998,34704,32143,52331,8219,22387,34341,40258,3382250
